,sigma,x,y,z,t
0,5,1.0,1.0,1.0,0.0
1,5,1.0063801087575703,1.2593579381769322,0.9848616070375277,0.01
2,5,1.0251079539725245,1.5196615709666508,0.9728642566132565,0.02
3,5,1.0557071161102054,1.7841246630406222,0.9642131963696222,0.03
4,5,1.0978775983021285,2.0558234221781775,0.9592301748666281,0.04
5,5,1.1514815393076359,2.3377392297157837,0.9583563621592935,0.05
6,5,1.2165317036011758,2.6327966853431706,0.962160914637398,0.06
7,5,1.2931821580456428,2.9438977402288953,0.9713544873449393,0.07
8,5,1.3817210537019378,3.273951728267619,0.9868080921568753,0.08
9,5,1.4825651053128766,3.6259015121965805,1.009577354398426,0.09
10,5,1.5962555111696675,4.002745508630955,1.040932589029604,0.1
11,5,1.7234550544136766,4.407555188323515,1.0823952457926322,0.11
12,5,1.8649460431604103,4.8434872829451665,1.135781507287514,0.12
13,5,2.0216288201704726,5.313789649651469,1.2032537634547373,0.13
14,5,2.1945204361931077,5.821799262924439,1.2873808988360895,0.14
15,5,2.384753054698295,6.3709302627418944,1.3912082650930429,0.15
16,5,2.5935715546519083,6.964649331557436,1.5183381571898886,0.16
17,5,2.8223296658255297,7.6064348698174555,1.6730213934183973,0.17
18,5,3.072483813475628,8.299715467369628,1.8602601974294448,0.18
19,5,3.345583640272233,9.047782042190867,2.085921892484138,0.19
20,5,3.643257940911575,9.853666837979315,2.3568618792732017,0.2
21,5,3.967194313856057,10.719980400050828,2.681052511755733,0.21
22,5,4.319110751592826,11.648697921903475,3.0677126386055527,0.22
23,5,4.700716627625898,12.640882615824255,3.5274285764656885,0.23
24,5,5.113660366521977,13.6963352507537,4.072253355041275,0.24
25,5,5.559460439057698,14.813157428373428,4.715764404513958,0.25
26,5,6.039416188796275,15.987219318139287,5.4730532571683606,0.26
27,5,6.554494504947968,17.211525826249986,6.360610410585249,0.27
28,5,7.105188674742155,18.47548458087729,7.396058874802723,0.28
29,5,7.6913463181411705,19.764093034621293,8.597678995021784,0.29
30,5,8.311964831715246,21.05708374134077,9.983658666727518,0.3
31,5,8.96495546583253,22.328098307550515,11.570998932574435,0.31
32,5,9.646881462565647,23.543999649935685,13.374013411106377,0.32
33,5,10.352682058697896,24.66448251775651,15.40238329481236,0.33
34,5,11.075402329473699,25.642188313415396,17.65878152493851,0.34
35,5,11.805959350870834,26.423573031077265,20.136162688511334,0.35000000000000003
36,5,12.532985852207581,26.95078307610125,22.81493467966708,0.36
37,5,13.242802314130637,27.164747897179428,25.66037484246573,0.37
38,5,13.919573060023318,27.009570308919216,28.620801247569812,0.38
39,5,14.54569848281403,26.43806876070429,31.627118628250415,0.39
40,5,15.10247800345049,25.418010431381695,34.59435749876199,0.4
41,5,15.571045702399278,23.93822553028263,37.425655112246545,0.41000000000000003
42,5,15.933533572685027,22.013510814757574,40.01875440940387,0.42
43,5,16.174363038201676,19.687143341155572,42.27455132181344,0.43
44,5,16.281516745826234,17.03004722423892,44.106622491736296,0.44
45,5,16.24761567878327,14.1362139395122,45.45020856693204,0.45
46,5,16.0706345443317,11.114763430698504,46.26901010104635,0.46
47,5,15.754135298516335,8.079828429485854,46.558476946391494,0.47000000000000003
